2020-07-20 11:40:51, INFO: Current git head hash code: %s
2020-07-20 11:40:51, INFO: Using device: cuda:0
2020-07-20 11:40:51, INFO: Policy: SARL w/ global state
2020-07-20 11:40:53, INFO: human number: 5
2020-07-20 11:40:53, INFO: Not randomize human's radius and preferred speed
2020-07-20 11:40:53, INFO: Training simulation: circle_crossing, test simulation: mixed
2020-07-20 11:40:53, INFO: Square width: 10.0, circle width: 4.0
2020-07-20 11:40:53, INFO: Current learning rate: 0.001000
2020-07-20 11:42:44, INFO: TRAIN has success rate: 0.83, collision rate: 0.16, nav time: 6.03, total reward: 0.4299
2020-07-20 11:46:02, INFO: Finish imitation learning. Weights saved.
2020-07-20 11:46:02, INFO: Experience set size: 68967/100000
2020-07-20 11:46:02, INFO: Agent is invisible and has rc kinematic constraint
2020-07-20 11:46:02, INFO: Current learning rate: 0.001000
2020-07-20 11:54:18, INFO: VAL   in episode 0 has success rate: 0.81, collision rate: 0.16, nav time: 5.41, total reward: 0.4304
2020-07-20 11:54:18, INFO: Frequency of being in danger: 1.30 and average min separate distance in danger: 0.07
2020-07-20 11:54:20, INFO: TRAIN in episode 0 has success rate: 0.00, collision rate: 1.00, nav time: 25.00, total reward: -0.1583
2020-07-20 11:54:23, INFO: TRAIN in episode 1 has success rate: 0.00, collision rate: 1.00, nav time: 25.00, total reward: -0.2414
2020-07-20 11:54:27, INFO: TRAIN in episode 2 has success rate: 1.00, collision rate: 0.00, nav time: 5.00, total reward: 0.6063
2020-07-20 11:54:28, INFO: TRAIN in episode 3 has success rate: 0.00, collision rate: 1.00, nav time: 25.00, total reward: -0.2305
2020-07-20 11:54:31, INFO: TRAIN in episode 4 has success rate: 0.00, collision rate: 1.00, nav time: 25.00, total reward: -0.1850
2020-07-20 11:54:34, INFO: TRAIN in episode 5 has success rate: 1.00, collision rate: 0.00, nav time: 5.75, total reward: 0.5602
2020-07-20 11:54:43, INFO: TRAIN in episode 6 has success rate: 1.00, collision rate: 0.00, nav time: 20.00, total reward: 0.0865
2020-07-20 11:54:47, INFO: TRAIN in episode 7 has success rate: 1.00, collision rate: 0.00, nav time: 6.75, total reward: 0.5035
2020-07-20 11:54:51, INFO: TRAIN in episode 8 has success rate: 1.00, collision rate: 0.00, nav time: 6.75, total reward: 0.5042
2020-07-20 11:54:54, INFO: TRAIN in episode 9 has success rate: 0.00, collision rate: 1.00, nav time: 25.00, total reward: -0.2225
2020-07-20 11:54:58, INFO: TRAIN in episode 10 has success rate: 1.00, collision rate: 0.00, nav time: 7.25, total reward: 0.4783
2020-07-20 11:55:03, INFO: TRAIN in episode 11 has success rate: 1.00, collision rate: 0.00, nav time: 6.25, total reward: 0.5314
2020-07-20 11:55:10, INFO: TRAIN in episode 12 has success rate: 1.00, collision rate: 0.00, nav time: 11.50, total reward: 0.3057
2020-07-20 11:55:17, INFO: TRAIN in episode 13 has success rate: 1.00, collision rate: 0.00, nav time: 14.00, total reward: 0.2349
2020-07-20 11:55:19, INFO: TRAIN in episode 14 has success rate: 0.00, collision rate: 1.00, nav time: 25.00, total reward: -0.2466
2020-07-20 11:55:22, INFO: TRAIN in episode 15 has success rate: 0.00, collision rate: 1.00, nav time: 25.00, total reward: -0.2071
2020-07-20 11:55:25, INFO: TRAIN in episode 16 has success rate: 0.00, collision rate: 1.00, nav time: 25.00, total reward: -0.1855
2020-07-20 11:55:28, INFO: TRAIN in episode 17 has success rate: 0.00, collision rate: 1.00, nav time: 25.00, total reward: -0.2065
2020-07-20 11:55:31, INFO: TRAIN in episode 18 has success rate: 1.00, collision rate: 0.00, nav time: 4.75, total reward: 0.6096
2020-07-20 11:55:33, INFO: TRAIN in episode 19 has success rate: 0.00, collision rate: 1.00, nav time: 25.00, total reward: -0.1775
